id,lnw,exper,ged,postexp,black,hispanic,hgc,hgc.9,uerate,ue.7,ue.centert1,ue.mean,ue.person.cen,ue1
315,1.644,4.941,0,0.000,0,0,10,1,4.59,NA,-2.505,6.22,-1.627,7.10
315,1.351,5.218,0,0.000,0,0,10,1,4.30,-2.705,-2.805,6.22,-1.927,7.10
315,1.660,5.298,1,0.000,0,0,10,1,3.39,-3.605,-3.705,6.22,-2.827,7.10
316,1.786,0.540,1,0.540,0,0,8,-1,9.60,2.600,0.000,5.77,3.826,9.60
316,2.014,1.502,1,1.502,0,0,8,-1,7.20,0.200,-2.400,5.77,1.426,9.60
316,1.462,1.786,1,1.786,0,0,8,-1,6.20,NA,-3.405,5.77,0.421,9.60
316,1.483,2.328,1,2.328,0,0,8,-1,5.59,-1.405,-4.005,5.77,-0.179,9.60
316,1.749,3.138,1,3.138,0,0,8,-1,4.59,-2.405,-5.005,5.77,-1.179,9.60
316,2.256,4.523,1,4.523,0,0,8,-1,4.30,-2.705,-5.305,5.77,-1.479,9.60
316,2.275,5.427,1,5.427,0,0,8,-1,3.39,-3.605,-6.205,5.77,-2.379,9.60
316,2.158,6.446,1,6.446,0,0,8,-1,4.39,-2.605,-5.205,5.77,-1.379,9.60
316,2.263,7.407,1,7.407,0,0,8,-1,6.70,-0.305,-2.905,5.77,0.921,9.60
324,1.491,1.491,0,0.000,0,0,9,0,9.60,2.600,0.000,5.62,3.984,9.60
324,2.224,1.803,0,0.000,0,0,9,0,6.20,-0.805,NA,5.62,0.579,9.60
324,2.036,2.320,0,0.000,0,0,9,0,4.59,-2.405,-5.005,5.62,-1.021,9.60
324,2.496,2.765,0,0.000,0,0,9,0,4.30,NA,-5.305,5.62,-1.321,9.60
324,2.536,3.945,0,0.000,0,0,9,0,3.39,-3.605,-6.205,5.62,-2.221,9.60
329,1.422,0.016,0,0.000,0,1,8,-1,9.00,2.000,0.000,6.93,2.070,9.00
329,1.308,0.716,0,0.000,0,1,8,-1,6.20,-0.805,NA,6.93,-0.735,9.00
329,1.885,1.756,0,0.000,0,1,8,-1,5.59,-1.405,-3.405,6.93,-1.335,9.00
331,1.559,0.105,0,0.000,0,1,9,0,6.80,-0.205,0.000,7.30,-0.502,6.80
331,0.830,1.095,0,0.000,0,1,9,0,9.00,2.000,2.205,7.30,1.703,6.80
331,1.804,1.725,0,0.000,0,1,9,0,9.60,2.600,2.805,7.30,2.303,6.80
331,1.872,4.436,0,0.000,0,1,9,0,4.39,-2.605,NA,7.30,-2.902,6.80
331,1.499,4.461,0,0.000,0,1,9,0,6.70,-0.305,-0.100,7.30,-0.602,6.80
332,1.630,0.125,0,0.000,0,1,8,-1,7.10,0.100,0.000,5.91,1.194,7.10
332,1.476,1.625,0,0.000,0,1,8,-1,9.60,2.600,2.500,5.91,3.694,7.10
332,1.804,2.413,0,0.000,0,1,8,-1,7.20,0.200,0.100,5.91,1.293,7.10
332,1.439,3.393,0,0.000,0,1,8,-1,6.20,-0.805,-0.905,5.91,0.289,7.10
332,1.748,4.470,0,0.000,0,1,8,-1,5.59,-1.405,-1.505,5.91,-0.312,7.10
332,1.526,5.178,0,0.000,0,1,8,-1,4.59,-2.405,-2.505,5.91,-1.311,7.10
332,2.044,6.082,0,0.000,0,1,8,-1,4.30,-2.705,-2.805,5.91,-1.612,7.10
332,2.179,7.043,0,0.000,0,1,8,-1,3.39,-3.605,-3.705,5.91,-2.511,7.10
332,2.186,8.197,0,0.000,0,1,8,-1,4.39,-2.605,NA,5.91,-1.512,7.10
332,4.035,9.092,0,0.000,0,1,8,-1,6.70,-0.305,-0.405,5.91,0.789,7.10
336,1.892,1.910,1,0.460,1,0,8,-1,9.60,2.600,0.000,7.66,1.935,9.60
336,1.279,2.514,1,1.064,1,0,8,-1,7.20,0.200,-2.400,7.66,-0.465,9.60
336,2.224,3.706,1,2.256,1,0,8,-1,6.20,-0.805,-3.405,7.66,-1.470,9.60
356,1.553,0.966,0,0.000,0,0,10,1,8.80,1.800,0.000,6.02,2.783,8.80
356,1.491,1.896,0,0.000,0,0,10,1,8.50,1.500,-0.300,6.02,2.484,8.80
356,2.261,2.461,0,0.000,0,0,10,1,7.30,0.300,-1.500,6.02,1.283,8.80
356,1.558,3.399,0,0.000,0,0,10,1,6.59,-0.405,-2.205,6.02,0.578,8.80
356,1.789,4.418,0,0.000,0,0,10,1,5.09,-1.905,-3.705,6.02,-0.922,8.80
356,2.219,5.571,0,0.000,0,0,10,1,4.39,-2.605,-4.405,6.02,-1.622,8.80
356,2.444,6.802,0,0.000,0,0,10,1,4.39,-2.605,-4.405,6.02,-1.622,8.80
356,2.692,7.744,0,0.000,0,0,10,1,3.30,-3.705,-5.505,6.02,-2.721,8.80
356,2.734,8.705,0,0.000,0,0,10,1,5.30,-1.705,-3.505,6.02,-0.721,8.80
356,2.742,9.705,0,0.000,0,0,10,1,6.49,-0.505,-2.305,6.02,0.479,8.80
378,1.828,1.300,0,0.000,1,0,10,1,8.80,1.800,0.000,5.82,2.981,8.80
378,1.513,2.178,0,0.000,1,0,10,1,7.30,0.300,-1.500,5.82,1.481,8.80
378,2.155,3.021,0,0.000,1,0,10,1,6.59,-0.405,-2.205,5.82,0.776,8.80
378,2.052,4.078,0,0.000,1,0,10,1,5.09,-1.905,-3.705,5.82,-0.724,8.80
378,1.889,5.001,0,0.000,1,0,10,1,4.39,-2.605,-4.405,5.82,-1.424,8.80
378,2.238,6.381,0,0.000,1,0,10,1,4.39,-2.605,-4.405,5.82,-1.424,8.80
378,2.302,7.400,0,0.000,1,0,10,1,3.30,NA,-5.505,5.82,-2.524,8.80
378,2.251,8.419,0,0.000,1,0,10,1,5.30,-1.705,-3.505,5.82,-0.524,8.80
378,2.263,9.284,0,0.000,1,0,10,1,7.20,0.200,-1.600,5.82,1.381,8.80
394,2.383,1.890,0,0.000,1,0,10,1,5.70,-1.305,0.000,5.46,0.233,5.70
394,1.929,2.770,0,0.000,1,0,10,1,6.59,-0.405,0.900,5.46,1.133,5.70
394,1.609,3.010,0,0.000,1,0,10,1,4.09,NA,-1.600,5.46,-1.367,5.70
396,1.066,0.165,1,0.000,1,0,9,0,10.20,3.200,0.000,5.64,4.561,10.20
396,2.417,2.880,1,2.715,1,0,9,0,6.59,-0.405,-3.605,5.64,0.956,10.20
396,1.972,3.976,1,3.811,1,0,9,0,5.09,-1.905,-5.105,5.64,-0.544,10.20
396,1.545,5.437,1,5.272,1,0,9,0,4.09,-2.905,-6.105,5.64,-1.544,10.20
396,1.883,6.457,1,6.292,1,0,9,0,4.20,NA,-6.005,5.64,-1.444,10.20
396,2.166,7.602,1,7.437,1,0,9,0,4.09,-2.905,-6.105,5.64,-1.544,10.20
396,1.906,8.313,1,8.148,1,0,9,0,5.20,-1.805,-5.005,5.64,-0.444,10.20
411,1.903,0.962,0,0.000,0,0,8,-1,9.70,2.700,0.000,7.46,2.240,9.70
411,1.982,1.642,0,0.000,0,0,8,-1,10.20,3.200,0.500,7.46,2.740,9.70
411,2.362,2.564,1,0.000,0,0,8,-1,10.20,3.200,0.500,7.46,2.740,9.70
411,2.192,3.564,1,1.000,0,0,8,-1,7.30,0.300,-2.400,7.46,-0.160,9.70
411,2.512,4.603,1,2.038,0,0,8,-1,5.70,-1.305,-4.005,7.46,-1.765,9.70
411,2.554,5.564,1,3.000,0,0,8,-1,6.59,-0.405,NA,7.46,-0.865,9.70
411,2.295,7.279,1,4.715,0,0,8,-1,4.09,-2.905,-5.605,7.46,-3.365,9.70
411,1.906,9.241,1,6.677,0,0,8,-1,5.89,NA,-3.805,7.46,-1.565,9.70
415,1.621,0.243,0,0.000,0,0,10,1,5.59,-1.405,0.000,5.99,-0.392,5.59
415,1.598,0.826,0,0.000,0,0,10,1,5.89,-1.105,0.300,5.99,-0.092,5.59
415,1.763,1.566,0,0.000,0,0,10,1,6.20,-0.805,NA,5.99,0.208,5.59
415,1.645,2.546,0,0.000,0,0,10,1,7.20,0.200,1.605,5.99,1.213,5.59
415,1.919,4.585,0,0.000,0,0,10,1,7.30,0.300,1.705,5.99,1.313,5.59
415,2.042,5.462,0,0.000,0,0,10,1,5.70,-1.305,0.100,5.99,-0.292,5.59
415,1.972,6.385,0,0.000,0,0,10,1,6.59,-0.405,1.000,5.99,0.608,5.59
415,2.086,7.385,0,0.000,0,0,10,1,6.90,-0.100,NA,5.99,0.913,5.59
415,2.295,8.885,0,0.000,0,0,10,1,5.20,-1.805,-0.400,5.99,-0.792,5.59
415,2.816,10.385,0,0.000,0,0,10,1,4.09,-2.905,-1.500,5.99,-1.892,5.59
415,2.263,11.385,0,0.000,0,0,10,1,5.20,-1.805,-0.400,5.99,-0.792,5.59
419,1.604,0.457,1,0.000,0,0,9,0,10.00,3.000,0.000,5.68,4.316,10.00
419,1.669,1.097,1,0.640,0,0,9,0,7.30,0.300,-2.700,5.68,1.616,10.00
419,2.001,2.145,1,1.688,0,0,9,0,3.89,-3.105,-6.105,5.68,-1.789,10.00
419,1.996,2.895,1,2.438,0,0,9,0,5.68,-1.316,-4.316,5.68,0.000,10.00
419,2.012,4.375,1,3.918,0,0,9,0,4.09,-2.905,-5.905,5.68,-1.589,10.00
419,2.295,5.298,1,4.841,0,0,9,0,3.99,-3.005,-6.005,5.68,-1.689,10.00
419,1.660,6.375,1,5.918,0,0,9,0,4.49,-2.505,NA,5.68,-1.189,10.00
419,1.896,7.020,1,6.563,0,0,9,0,4.59,-2.405,-5.405,5.68,-1.089,10.00
419,2.040,7.935,1,7.478,0,0,9,0,7.10,0.100,-2.900,5.68,1.416,10.00
470,1.932,2.048,0,0.000,0,0,11,2,9.40,2.400,0.000,8.44,0.958,9.40
470,1.840,3.106,0,0.000,0,0,11,2,8.60,1.600,-0.800,8.44,0.158,9.40
470,1.565,4.222,0,0.000,0,0,11,2,8.00,1.000,-1.400,8.44,-0.442,9.40
470,1.931,5.504,0,0.000,0,0,11,2,8.30,1.300,-1.100,8.44,-0.142,9.40
470,1.842,6.658,0,0.000,0,0,11,2,6.80,-0.205,-2.605,8.44,-1.647,9.40
470,1.946,7.658,0,0.000,0,0,11,2,7.30,0.300,-2.100,8.44,-1.142,9.40
470,2.055,7.698,0,0.000,0,0,11,2,10.70,3.700,1.300,8.44,2.258,9.40
477,1.455,0.075,1,0.000,0,0,8,-1,12.20,5.200,0.000,8.91,3.288,12.20
477,1.418,0.736,1,0.661,0,0,8,-1,9.40,2.400,-2.800,8.91,0.488,12.20
477,1.566,1.339,1,1.264,0,0,8,-1,8.60,1.600,-3.600,8.91,-0.312,12.20
